TID,EN,CN,JA,KO,RU,FR,DE,ES,IT,PT,TW
TID_NO_NETWORK,There's no network connection detected. Please check your internet and retry.,当前无法连接到服务器，请检查您的网络环境后再试。,サーバーと接続できません、ネットワークの状況をご確認ください。,,,,,,,,
TID_BTN_RETRY,Retry,重试,もう一度お試し,,,,,,,,
TID_NO_NETWORK_TITLE,No Network,无网络,ネットなし,,,,,,,,
TID_NEW_VER_UPDATE,Good news! A new version of the game is available!,好消息！游戏已经推出了新版本。,良いお知らせ　新バージョンがありました。,,,,,,,,
TID_NEW_VER_TITLE,New Version,新版本,新バージョン,,,,,,,,
TID_BTN_UPDATE,Update,更新,更新,,,,,,,,
TID_SYS_MAINTENAINCE,The system is under periodic maintenaince. Please try again later.,游戏系统正在进行定期维护，此期间将无法登陆游戏。请稍后再试。,ゲームシステムは定期メンテナンス中、その期間に登録できません、しばらくお待ちください。,,,,,,,,
TID_BTN_OK,OK,好的,オーケー,,,,,,,,
TID_MAINTENAINCE_TITLE,System Maintenaince,系统维护,システムメンテナンス,,,,,,,,
TID_LOADING,Loading {?}%,加载中{?}%,ロード中{?}%,,,,,,,,
TID_INITIAL_CONFIGURATION,,初始化游戏配置数据,,,,,,,,,
TID_INITIAL_AUDIO,,加载游戏音频,,,,,,,,,
TID_CONNECTION,,连接中,,,,,,,,,
TID_START,,开始,,,,,,,,,
TID_TIPS_1,,其它玩家的城镇已经出现在地图上时，你无法再改变其可获取的资源数量,他のゲーマーの城が地図に現れたたら、獲得した資源資料を変えない,,,,,,,,
TID_TIPS_2,,升级集水器来提高水资源产量,水集中機をレベルアップして水資源の産量を増やす,,,,,,,,
TID_TIPS_3,,升级晶体矿来提高晶体资源产量,結晶鉱をレベルアップして結晶資源の産量を増やす,,,,,,,,
TID_TIPS_4,,每连续游戏1小时，你将被强制下线5分钟,毎日１時間連続にゲームをすると、強制的に５分間オフラインになります,,,,,,,,
TID_TIPS_5,,当摧毁足够数量的来犯敌人时，你将获得钻石奖励,一定の数量の敵を倒すと、ダイヤモンドの奨励を貰える,,,,,,,,
TID_TIPS_6,,蒸汽男孩的移动速度超过远程英雄,蒸気ボーイの移動速度は遠距離ヒーローより遥かに速い,,,,,,,,
TID_TIPS_7,,更换阵营中的士兵时，训练费用不会被返还,陣営の兵士を交換するなら、訓練費用は返さない,,,,,,,,
TID_TIPS_8,,炮塔在升级过程中不可用,レベルアップ中の砲台は使用不可,,,,,,,,
TID_TIPS_9,,营地在升级过程中不可生产士兵，但已有士兵可以出阵,レベルアップ中の兵営は兵士を生産できない、でも既に持っている兵士は出陣できる,,,,,,,,
TID_TIPS_10,,在被森海统治的广袤大地上，上演着形形色色的故事。它们让你攻城掠地，或是千金散尽。而有的让你结交新的战士,森の海に統治されたこの広いな大地には色んなことを発生している。領地を開拓する、或いは財産を失う、でもその中には新たな戦士と出会える,,,,,,,,
TID_TIPS_11,,当一个建筑可升级时，旁边会显示绿色的箭头,一つ建物はレベルアップ可能になると、緑の矢印が表れる,,,,,,,,
TID_TIPS_12,,建造或升级战争学院时，不可以升级科技和战士,戦争学院を建造中或いはレベルアップ中には、技術と戦士をレベルアップ不可,,,,,,,,
TID_TIPS_13,,你所解放的村庄越多，你下线时村庄被入侵的几率就越大,開放した村が多くなると、オフライン中に村が侵入されるの可能性が大きくなる,,,,,,,,
TID_TIPS_14,,威力西瓜弹和连发爆豆在使用时要小心，有可能伤到自己的战士和英雄,威力西瓜砲弾と連発爆発豆は慎重に使用してください、自分の兵士とヒーローを傷害するかもしれない,,,,,,,,
TID_TIPS_15,,升级过程中的集水器和晶体矿无法生产和采集资源,レベルアップ中の水集中機と結晶鉱は資源を生産・採集不可,,,,,,,,
TID_TIPS_16,,临时存储在晶体矿和集水器中的资源被敌人摧毁时会遭到尽数掠夺，请及时收集你的资源,結晶鉱と水集中機に臨時的に保存している資源は一旦敵に破れると全部取られるから、すぐに資源を集めってください,,,,,,,,
TID_TIPS_17,,要升级的建筑所需资源超过你的最大储量上限时，不能直接用钻石升级，请先升级你的储藏建筑,レベルアップしたい建物の必要な資源は最大限を超えると、直接にダイヤモンドを使ってレベルアップできない、まず保存建物をレベルアップしてください,,,,,,,,
TID_TIPS_18,,在战争学院升级战士，炮弹和陷阱的威力,戦争学院で戦士、砲弾、罠の威力をレベルアップする,,,,,,,,
TID_TIPS_19,,厨房可以烹饪用于提升部队能力的料理,厨房は部隊能力を強化できる料理を作る,,,,,,,,
TID_TIPS_20,,防御部队被消灭不会被消耗掉，但进攻部队被消灭需要重新生产,防衛部隊は破られると消耗されないが、攻撃部隊が破られるともう一回生産する,,,,,,,,
TID_TIPS_21,,如果移动速度够快，可以躲过树妖的石块和迫击炮的炮弹,移動速度が充分に速いなら、木の妖精の岩と迫撃砲の砲弾を避ける,,,,,,,,
TID_TIPS_22,,使用营地的阵形保存功能，保存你使用过的编队,兵営の陣営保存機能を使って、使用された戦陣を保存する,,,,,,,,
TID_TIPS_23,,升级中的营地士兵可以被派遣，但阵亡后要等升级完成才能再生产,レベルアップ中の兵営の兵士は派遣できるが、死亡ならレベルアップ完成するまで生産できない,,,,,,,,
TID_TIPS_24,,英雄可通过休息，料理或使用钻石来恢复体力,ヒーローは休憩、料理或いはダイヤモンドで体力を回復する,,,,,,,,
TID_TIPS_25,,英雄在恢复体力时不能出战，当村庄中没有可出战的英雄时不可进攻其它村庄,ヒーローは体力回復中に出陣できない、村に出陣できるヒーローがないなら他の村を攻撃できない,,,,,,,,
